method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR,alpha_EJR
MES,5,414900,"[2, 6, 7, 8, 9]",1350,1013,412585,512578,1.0,0.8420615128844555,0.6551765753948908,0.7089569476198577,False,0.06312044970892038
greedy-AV,2,439600,"[0, 7]",1269,1203,629731,723003,0.94,1.0,1.0,1.0,True,0.06981980092180745
greedy-AV/cost,6,374900,"[3, 5, 6, 7, 8, 9]",1335,954,218629,454581,0.9888888888888888,0.7930174563591023,0.3471783983955054,0.6287401297090054,False,0.07884146059147919
greedy-AV/cost^2,6,374900,"[3, 5, 6, 7, 8, 9]",1335,954,218629,454581,0.9888888888888888,0.7930174563591023,0.3471783983955054,0.6287401297090054,False,0.07884146059147919
greedy-CC,2,439600,"[0, 7]",1269,1203,629731,723003,0.94,1.0,1.0,1.0,True,0.06981980092180745
greedy-PAV,2,439600,"[0, 7]",1269,1203,629731,723003,0.94,1.0,1.0,1.0,True,0.06981980092180745
