method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR,alpha_EJR
MES,7,840248,"[0, 1, 2, 3, 4, 6, 7]",1756,542,116393,146611,1.0,1.0,1.0,1.0,True,0.5394299122807018
greedy-AV,7,840248,"[0, 1, 2, 3, 4, 6, 7]",1756,542,116393,146611,1.0,1.0,1.0,1.0,True,0.5394299122807018
greedy-AV/cost,7,840248,"[0, 1, 2, 3, 4, 6, 7]",1756,542,116393,146611,1.0,1.0,1.0,1.0,True,0.5394299122807018
greedy-AV/cost^2,7,748298,"[0, 1, 2, 3, 4, 7, 8]",1695,537,113575,143916,0.965261958997722,0.9907749077490776,0.9757889220142104,0.9816180232042616,True,0.5394299122807018
greedy-CC,7,840248,"[0, 1, 2, 3, 4, 6, 7]",1756,542,116393,146611,1.0,1.0,1.0,1.0,True,0.5394299122807018
greedy-PAV,4,892970,"[0, 1, 2, 5]",1125,529,107802,139656,0.6406605922551253,0.9760147601476016,0.9261897193130172,0.9525615404028348,True,0.3398574285714286
