method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR,alpha_EJR
MES,6,130502,"[0, 1, 2, 3, 4, 5]",896,258,29656,33153,1.0,1.0,1.0,1.0,True,1.0
greedy-AV,6,130502,"[0, 1, 2, 3, 4, 5]",896,258,29656,33153,1.0,1.0,1.0,1.0,True,1.0
greedy-AV/cost,6,130502,"[0, 1, 2, 3, 4, 5]",896,258,29656,33153,1.0,1.0,1.0,1.0,True,1.0
greedy-AV/cost^2,6,130502,"[0, 1, 2, 3, 4, 5]",896,258,29656,33153,1.0,1.0,1.0,1.0,True,1.0
greedy-CC,6,130502,"[0, 1, 2, 3, 4, 5]",896,258,29656,33153,1.0,1.0,1.0,1.0,True,1.0
greedy-PAV,6,130502,"[0, 1, 2, 3, 4, 5]",896,258,29656,33153,1.0,1.0,1.0,1.0,True,1.0
