method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR,alpha_EJR
MES,7,625155,"[0, 1, 2, 3, 4, 6, 8]",1437,366,60668,66795,0.8756855575868373,0.976,0.9856381596048868,0.9525133689839572,True,0.470556674982409
greedy-AV,7,618305,"[0, 1, 2, 3, 4, 5, 7]",1456,347,57828,60031,0.8872638634978671,0.9253333333333332,0.9394983103717184,0.8560570409982174,True,0.2476614078854784
greedy-AV/cost,10,344318,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1641,343,50782,58653,1.0,0.9146666666666666,0.8250259942812581,0.8364064171122995,True,0.1383990220536497
greedy-AV/cost^2,10,344318,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1641,343,50782,58653,1.0,0.9146666666666666,0.8250259942812581,0.8364064171122995,True,0.1383990220536497
greedy-CC,6,616205,"[0, 1, 2, 4, 6, 9]",1249,375,61552,70125,0.761121267519805,1.0,1.0,1.0,True,1.0
greedy-PAV,7,625155,"[0, 1, 2, 3, 4, 6, 8]",1437,366,60668,66795,0.8756855575868373,0.976,0.9856381596048868,0.9525133689839572,True,0.470556674982409
