method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR,alpha_EJR
MES,11,629150,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12]",7012,3118,2187058,4859403,1.0,1.0,0.9828259428609948,1.0,True,0.17373241458512775
greedy-AV,8,771500,"[0, 1, 3, 5, 8, 9, 10, 12]",5654,3002,2218718,4504501,0.8063320022818026,0.962796664528544,0.9970533978946422,0.9269659256497146,True,0.1584721349256233
greedy-AV/cost,11,629150,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12]",7012,3118,2187058,4859403,1.0,1.0,0.9828259428609948,1.0,True,0.17373241458512775
greedy-AV/cost^2,11,629150,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12]",7012,3118,2187058,4859403,1.0,1.0,0.9828259428609948,1.0,True,0.17373241458512775
greedy-CC,8,772900,"[0, 1, 3, 5, 8, 10, 11, 12]",5600,3036,2225275,4607130,0.7986309184255562,0.9737010904425916,1.0,0.9480855981691578,True,0.1617508687516707
greedy-PAV,8,772900,"[0, 1, 3, 5, 8, 10, 11, 12]",5600,3036,2225275,4607130,0.7986309184255562,0.9737010904425916,1.0,0.9480855981691578,True,0.1617508687516707
