method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,EJR,alpha_EJR
MES,7,357735,"[0, 1, 2, 3, 6, 7, 8]",612,218,14928,23653,1.0,0.9775784753363228,0.979399028998819,0.9555609421080272,True,0.34588221476510067
greedy-AV,6,368685,"[0, 1, 2, 4, 6, 7]",545,210,13971,21945,0.8905228758169934,0.9417040358744396,0.9166119931767484,0.8865592049448552,True,0.25155070164734594
greedy-AV/cost,7,318235,"[0, 2, 3, 4, 6, 7, 8]",595,157,10416,12246,0.9722222222222222,0.7040358744394619,0.6833748851856711,0.4947279117682705,False,0.04392155108128262
greedy-AV/cost^2,8,364735,"[0, 2, 3, 6, 7, 8, 9, 10]",589,163,10590,13203,0.9624183006535948,0.7309417040358744,0.6947907098805931,0.5333898921342868,False,0.04462996319549686
greedy-CC,6,367735,"[0, 1, 2, 5, 6, 8]",531,223,15242,24753,0.8676470588235294,1.0,1.0,1.0,True,0.9221476510067114
greedy-PAV,7,357735,"[0, 1, 2, 3, 6, 7, 8]",612,218,14928,23653,1.0,0.9775784753363228,0.979399028998819,0.9555609421080272,True,0.34588221476510067
